customer_id,R,F,M,F_log1p,M_log1p,R_z,F_z,M_z
1,68,12,1265.0,2.5649493574615367,7.143617602704121,0.6325551163312348,-0.9526872947026088,-0.2899162374546297
2,99,12,1647.0,2.5649493574615367,7.4073177104694174,1.6978387564924886,-0.9526872947026088,0.5572811993927609
3,63,19,1806.0,2.995732273553991,7.499423290592229,0.46073517436974226,0.30829025158344375,0.853191626053788
4,65,22,1207.0,3.1354942159291497,7.0967213784947605,0.5294631511543393,0.717398098196787,-0.4405811775818159
5,49,17,934.0,2.8903717578961645,6.840546529288687,-0.02036066312243691,-0.0001185537488582652,-1.2636019850868245
6,71,13,2436.0,2.6390573296152584,7.798523053625206,0.7356470815081303,-0.7357601943099386,1.8141186228251862
7,46,18,1413.0,2.9444389791664403,7.254177846456518,-0.12345262829933244,0.15814573544422847,0.0652840539598124
8,67,5,1851.0,1.791759469228055,7.524021415206125,0.5981911279389363,-3.215950417859041,0.9322187766330875
9,12,21,1576.0,3.091042453358316,7.3632795869630385,-1.2918282336374818,0.5872799519083906,0.4157985671923238
10,13,21,1228.0,3.091042453358316,7.113956109566034,-1.2574642452451834,0.5872799519083906,-0.38521062763371716
11,8,15,1548.0,2.772588722239781,7.3453648404168685,-1.429284187206676,-0.34489026531838896,0.3582433106385635
12,27,17,1403.0,2.8903717578961645,7.247080584585756,-0.7763684077530042,-0.0001185537488582652,0.042482462726124263
13,37,20,2148.0,3.044522437723423,7.67275789664251,-0.43272852383001903,0.4511076642499669,1.410069039594521
14,11,25,1911.0,3.258096538021482,7.555905093611346,-1.3261922220297804,1.07627671084767,1.0346524496834286
15,91,8,1062.0,2.1972245773362196,6.968850378341948,1.4229268493541005,-2.0290825592991357,-0.8513962678547219
16,12,23,1616.0,3.1780538303479458,7.388327859577107,-1.2918282336374818,0.8419775932415164,0.4962719220799169
17,20,12,2039.0,2.5649493574615367,7.620705086838262,-1.0169163264990937,-0.9526872947026088,1.2428373785209739
18,54,14,812.0,2.70805020110221,6.70073110954781,0.15145927883905566,-0.5338058954069297,-1.7127912790921178
19,37,20,1725.0,3.044522437723423,7.453561871643373,-0.43272852383001903,0.4511076642499669,0.7058512365753122
20,51,24,1658.0,3.2188758248682006,7.413970290190444,0.048367313662160114,0.9614707684852765,0.5786541466237608
21,25,21,459.0,3.091042453358316,6.131226489483141,-0.8450963845376012,0.5872799519083906,-3.5424562666429154
22,88,26,1669.0,3.295836866004329,7.4205789054108005,1.319834884177205,1.1867493048110471,0.5998858477529077
23,21,15,1245.0,2.772588722239781,7.1276936993473985,-0.9825523381067952,-0.34489026531838896,-0.34107545093674274
24,50,7,1367.0,2.0794415416798357,7.221105098182496,0.014003325269861604,-2.3738542708686676,-0.04096978038518007
25,71,16,1353.0,2.833213344056216,7.21081845347222,0.7356470815081303,-0.16743130859829167,-0.07401799984234254
26,36,16,1171.0,2.833213344056216,7.066466970136958,-0.46709251222231757,-0.16743130859829167,-0.5377804447011071
27,44,14,1837.0,2.70805020110221,7.516433302915632,-0.19218060508392948,-0.5338058954069297,0.9078402151774461
28,85,24,1116.0,3.2188758248682006,7.018401799069201,1.2167429190003096,0.9614707684852765,-0.6922008963092567
29,76,16,990.0,2.833213344056216,6.898714534329988,0.9074670234696229,-0.16743130859829167,-1.0767238484219082
30,36,15,1154.0,2.772588722239781,7.051855622955894,-0.46709251222231757,-0.34489026531838896,-0.5847227686371372
31,13,11,1339.0,2.4849066497880004,7.200424892944957,-1.2574642452451834,-1.1869864123087623,-0.10740971102910056
32,17,20,1943.0,3.044522437723423,7.572502985020384,-1.1200082916759893,0.4511076642499669,1.0879770052855215
33,96,15,1463.0,2.772588722239781,7.288927694521257,1.594746791315593,-0.34489026531838896,0.17692595832143643
34,6,18,1158.0,2.9444389791664403,7.055312843339752,-1.498012163991273,0.15814573544422847,-0.5736156505072204
35,73,11,1089.0,2.4849066497880004,6.993932975223189,0.8043750582927274,-1.1869864123087623,-0.7708126383395701
36,59,20,1265.0,3.044522437723423,7.143617602704121,0.3232792208005482,0.4511076642499669,-0.2899162374546297
37,57,22,978.0,3.1354942159291497,6.88653164253051,0.2545512440159512,0.717398098196787,-1.1158641991535552
38,93,16,1585.0,2.833213344056216,7.368970402194793,1.4916548261386977,-0.16743130859829167,0.43408162410410034
39,54,12,1201.0,2.5649493574615367,7.091742115095153,0.15145927883905566,-0.9526872947026088,-0.45657821006422233
40,33,22,1513.0,3.1354942159291497,7.322510433997394,-0.5701844773992131,0.717398098196787,0.2848182570679347
41,44,19,1754.0,2.995732273553991,7.470224135899966,-0.19218060508392948,0.30829025158344375,0.7593826048022199
42,2,23,1459.0,3.1780538303479458,7.286191714702382,-1.635468117560467,0.8419775932415164,0.16813599191050257
43,39,21,792.0,3.091042453358316,6.675823221634848,-0.364000547045422,0.5872799519083906,-1.7928136157379773
44,75,25,897.0,3.258096538021482,6.8001700683022,0.8731030350773243,1.07627671084767,-1.3933206816266313
45,99,11,1208.0,2.4849066497880004,7.097548850614793,1.6978387564924886,-1.1869864123087623,-0.4379227324825905
46,52,15,2312.0,2.772588722239781,7.746300662231439,0.08273130205445862,-0.34489026531838896,1.6463421417695996
47,30,20,1333.0,3.044522437723423,7.195937226475569,-0.6732764425761086,0.4511076642499669,-0.12182737495237655
48,22,14,1567.0,2.70805020110221,7.357556200910353,-0.9481883497144967,-0.5338058954069297,0.39741086900359596
49,71,27,1592.0,3.332204510175204,7.373374309910049,0.7356470815081303,1.2932038112403403,0.44823019370498146
50,64,17,933.0,2.8903717578961645,6.839476438228843,0.49509916276204075,-0.0001185537488582652,-1.2670398995070205
51,54,20,1744.0,3.044522437723423,7.4645098346365275,0.15145927883905566,0.4511076642499669,0.7410240935949828
52,98,17,966.0,2.8903717578961645,6.874198495453294,1.6634747681001902,-0.0001185537488582652,-1.1554872796316984
53,78,28,1643.0,3.367295829986474,7.404887575616125,0.9761950002542199,1.3959222912416644,0.5494738304980341
54,91,15,1875.0,2.772588722239781,7.53689712956617,1.4229268493541005,-0.34489026531838896,0.9735849796879537
55,11,16,1661.0,2.833213344056216,7.415776975415394,-1.3261922220297804,-0.16743130859829167,0.5844585397457003
56,0,25,899.0,3.258096538021482,6.802394763324311,-1.704196094345064,1.07627671084767,-1.3861733355884678
57,10,21,1618.0,3.091042453358316,7.389563953677635,-1.3605562104220787,0.5872799519083906,0.5002431595683831
58,50,27,1719.0,3.332204510175204,7.450079569807499,0.014003325269861604,1.2932038112403403,0.694663538494022
59,65,2,1045.0,1.0986122886681098,6.952728644624869,0.5294631511543393,-5.24491442340932,-0.9031910570127226
60,44,28,1047.0,3.367295829986474,6.954638864880987,-0.19218060508392948,1.3959222912416644,-0.897054033715644
61,98,20,1557.0,3.044522437723423,7.351158226430694,1.6634747681001902,0.4511076642499669,0.3768558998527802
62,71,8,1076.0,2.1972245773362196,6.981934677156389,0.7356470815081303,-2.0290825592991357,-0.8093599391156918
63,30,14,1096.0,2.70805020110221,7.00033446027523,-0.6732764425761086,-0.5338058954069297,-0.7502463906650235
64,84,9,1207.0,2.302585092994046,7.0967213784947605,1.182378930608011,-1.7206737539668338,-0.4405811775818159
65,52,17,1676.0,2.8903717578961645,7.424761761823209,0.08273130205445862,-0.0001185537488582652,0.613324239042635
