customer_id,R,F,M,F_log1p,M_log1p,R_z,F_z,M_z
12346.0,325,12,77556.46,2.5649493574615367,11.258774359980725,0.5955835512607377,1.2544959545938104,3.186624925127968
12347.0,1,8,5633.32,2.1972245773362196,8.63663174483544,-0.9522790918878471,0.8001660338568091,1.297126898401073
12348.0,74,5,2019.4,1.791759469228055,7.6110507905938976,-0.6035322617957277,0.2992073267345332,0.5581002802090212
12349.0,18,4,4428.69,1.6094379124341003,8.39608488316401,-0.8710640766609151,0.07394609082159041,1.1237904757983177
12350.0,309,1,334.4,0.6931471805599453,5.815323849389109,0.5191458898706842,-1.058145946714099,-0.7358882665423826
12351.0,374,1,300.93,0.6931471805599453,5.710195202428391,0.8296738892677769,-1.058145946714099,-0.8116432502100952
12352.0,35,10,2849.84,2.3978952727983707,7.9553689666784315,-0.7898490614339833,1.0480979277381186,0.8062136019330891
12353.0,203,2,406.76,1.0986122886681098,6.010678766031786,0.012746383161579257,-0.5571872395918231,-0.5951168503060144
12354.0,231,1,1079.4,0.6931471805599453,6.985086621918461,0.146512290594173,-1.058145946714099,0.10703478335829149
12355.0,213,2,947.61,1.0986122886681098,6.854997755239065,0.06051992153036274,-0.5571872395918231,0.013293636149089459
12356.0,22,6,6373.68,1.9459101490553132,8.76008917268833,-0.8519546613134018,0.48966298795922886,1.386089476166847
12357.0,32,3,18287.66,1.3862943611198906,9.814036474622236,-0.8041811229446183,-0.20175138038774237,2.1455566904121377
12358.0,1,5,3887.07,1.791759469228055,8.265668169533484,-0.9522790918878471,0.2992073267345332,1.0298130843193911
12359.0,57,10,8935.94,2.3978952727983707,9.097948527696552,-0.6847472770226596,1.0480979277381186,1.629548615617157
12360.0,51,8,4252.89,2.1972245773362196,8.355589137409874,-0.7134114000439297,0.8001660338568091,1.09460951849595
12361.0,286,4,511.25,1.6094379124341003,6.238812787119009,0.40926675162248216,0.07394609082159041,-0.4307250356946276
12362.0,2,11,5356.23,2.4849066497880004,8.586202329437555,-0.9475017380509687,1.15560189306089,1.260787806723553
12363.0,109,2,552.0,1.0986122886681098,6.315358001522335,-0.4363248775049855,-0.5571872395918231,-0.3755670779485127
12364.0,7,4,1313.1,1.6094379124341003,7.180907299649593,-0.923614968866577,0.07394609082159041,0.2481418238480768
12365.0,290,2,641.38,1.0986122886681098,6.465180028897591,0.42837616696999553,-0.5571872395918231,-0.26760635016403844
