customer_id,R,F,M,F_log1p,M_log1p,R_z,F_z,M_z,kmeans_gms_afkmc2_pipeline,kmeans_afkmc2_full,kmeans_pp,kmeans_random
12346.0,325,12,77556.46,2.5649493574615367,11.258774359980723,0.5955835512607377,1.2544959545938104,3.186624925127968,3,0,3,3
12347.0,1,8,5633.32,2.1972245773362196,8.63663174483544,-0.9522790918878472,0.8001660338568091,1.297126898401073,3,0,3,3
12348.0,74,5,2019.4,1.791759469228055,7.6110507905938976,-0.6035322617957277,0.2992073267345332,0.5581002802090212,1,3,2,0
12349.0,18,4,4428.69,1.6094379124341005,8.39608488316401,-0.8710640766609151,0.0739460908215904,1.1237904757983177,1,0,2,0
12350.0,309,1,334.4,0.6931471805599453,5.815323849389109,0.5191458898706842,-1.058145946714099,-0.7358882665423826,2,2,0,1
12351.0,374,1,300.93,0.6931471805599453,5.710195202428391,0.8296738892677769,-1.058145946714099,-0.8116432502100952,2,2,0,1
12352.0,35,10,2849.84,2.3978952727983707,7.955368966678432,-0.7898490614339833,1.0480979277381186,0.8062136019330891,1,0,2,0
12353.0,203,2,406.76,1.0986122886681098,6.010678766031786,0.0127463831615792,-0.5571872395918231,-0.5951168503060144,0,3,1,2
12354.0,231,1,1079.4,0.6931471805599453,6.985086621918461,0.146512290594173,-1.058145946714099,0.1070347833582914,0,3,1,2
12355.0,213,2,947.61,1.0986122886681098,6.854997755239065,0.0605199215303627,-0.5571872395918231,0.0132936361490894,0,3,1,2
12356.0,22,6,6373.68,1.9459101490553132,8.76008917268833,-0.8519546613134018,0.4896629879592288,1.386089476166847,1,0,2,0
12357.0,32,3,18287.66,1.3862943611198906,9.814036474622236,-0.8041811229446183,-0.2017513803877423,2.1455566904121377,1,0,2,0
12358.0,1,5,3887.07,1.791759469228055,8.265668169533484,-0.9522790918878472,0.2992073267345332,1.0298130843193911,1,0,2,0
12359.0,57,10,8935.94,2.3978952727983707,9.097948527696552,-0.6847472770226596,1.0480979277381186,1.629548615617157,3,0,3,3
12360.0,51,8,4252.89,2.1972245773362196,8.355589137409874,-0.7134114000439297,0.8001660338568091,1.09460951849595,1,0,2,0
12361.0,286,4,511.25,1.6094379124341005,6.238812787119009,0.4092667516224821,0.0739460908215904,-0.4307250356946276,0,1,1,2
12362.0,2,11,5356.23,2.4849066497880004,8.586202329437555,-0.9475017380509688,1.15560189306089,1.260787806723553,3,0,3,3
12363.0,109,2,552.0,1.0986122886681098,6.315358001522335,-0.4363248775049855,-0.5571872395918231,-0.3755670779485127,0,3,1,2
12364.0,7,4,1313.1,1.6094379124341005,7.180907299649593,-0.923614968866577,0.0739460908215904,0.2481418238480768,1,3,2,0
12365.0,290,2,641.38,1.0986122886681098,6.465180028897591,0.4283761669699955,-0.5571872395918231,-0.2676063501640384,0,1,1,2
12366.0,633,1,500.24,0.6931471805599453,6.217085028297085,2.067008533019269,-1.058145946714099,-0.4463819100317048,2,2,0,1
12367.0,3,1,168.9,0.6931471805599453,5.135210028677887,-0.9427243842140904,-1.058145946714099,-1.225973632136558,0,3,1,2
12368.0,627,1,917.7,0.6931471805599453,6.822959627277421,2.038344409997999,-1.058145946714099,-0.0097928196424068,2,2,0,1
12369.0,412,3,1791.15,1.3862943611198906,7.491171295388921,1.011213335069154,-0.2017513803877423,0.4717159362276892,2,1,0,1
12370.0,50,7,4320.31,2.0794415416798357,8.371313876010715,-0.718188753880808,0.654643185938614,1.1059406575367758,1,0,2,0
12371.0,44,5,4067.38,1.791759469228055,8.31100016480189,-0.7468528769020781,0.2992073267345332,1.0624790099301915,1,0,2,0
12372.0,71,3,1298.04,1.3862943611198906,7.169380809114136,-0.6178643233063628,-0.2017513803877423,0.2398359136370775,1,3,2,0
12373.0,310,3,1127.65,1.3862943611198906,7.028777507229587,0.5239232437075625,-0.2017513803877423,0.138518136363006,1,1,2,0
